Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.240000	11.477000	24.705000	3.044000	18.200000	26.742000	
1.000000	0.099990	2.710000	24.290000	43.200000	2.684000	30.540000	40.519000	
2.000000	0.099977	2.407000	35.375000	54.418000	2.193000	47.203000	60.940000	
3.000000	0.099958	2.250000	42.147000	60.423000	2.144000	52.572000	63.452000	
4.000000	0.099935	2.143000	47.861000	64.933000	2.022000	56.802000	68.031000	
5.000000	0.099906	2.078000	52.504000	67.885000	1.953000	62.232000	71.070000	
6.000000	0.099872	2.005000	56.777000	71.305000	1.829000	66.730000	77.512000	
7.000000	0.099833	1.954000	60.630000	73.789000	1.799000	69.928000	79.417000	
8.000000	0.099789	1.917000	62.553000	75.092000	1.743000	71.195000	81.483000	
9.000000	0.099740	1.888000	63.915000	76.130000	1.720000	73.590000	82.010000	
10.000000	0.099685	1.862000	65.522000	77.321000	1.719000	76.010000	81.199000	
11.000000	0.099625	1.826000	67.798000	78.807000	1.699000	77.437000	83.995000	
12.000000	0.099561	1.816000	69.307000	79.764000	1.659000	76.913000	84.279000	
13.000000	0.099490	1.799000	69.350000	80.069000	1.673000	75.871000	84.441000	
14.000000	0.099415	1.788000	69.625000	80.314000	1.657000	74.816000	84.887000	
15.000000	0.099335	1.780000	70.467000	80.741000	1.617000	78.186000	86.710000	
16.000000	0.099249	1.757000	72.397000	81.861000	1.616000	78.235000	86.912000	
17.000000	0.099159	1.755000	72.202000	82.075000	1.604000	80.695000	87.642000	
18.000000	0.099063	1.748000	72.983000	82.268000	1.603000	81.235000	87.480000	
19.000000	0.098962	1.729000	74.059000	83.245000	1.597000	78.999000	86.548000	
20.000000	0.098856	1.725000	74.759000	83.479000	1.603000	81.065000	86.953000	
21.000000	0.098745	1.716000	74.500000	83.561000	1.583000	81.077000	87.763000	
22.000000	0.098629	1.707000	76.142000	84.212000	1.600000	80.441000	86.224000	
23.000000	0.098508	1.704000	75.527000	83.947000	1.574000	81.098000	87.237000	
24.000000	0.098381	1.696000	76.359000	84.416000	1.590000	83.043000	86.994000	
25.000000	0.098250	1.704000	76.247000	84.324000	1.632000	77.633000	84.806000	
26.000000	0.098114	1.689000	76.102000	84.456000	1.626000	80.770000	84.887000	
27.000000	0.097973	1.688000	77.129000	84.965000	1.601000	79.674000	86.710000	
28.000000	0.097826	1.679000	77.145000	85.118000	1.593000	78.948000	85.981000	
