Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.388000	8.962000	20.002000	3.332000	8.991000	14.384000	
1.000000	0.099990	2.997000	19.224000	36.004000	2.535000	32.560000	44.733000	
2.000000	0.099977	2.763000	32.029000	50.804000	2.272000	41.631000	55.024000	
3.000000	0.099958	2.630000	40.987000	59.049000	2.062000	53.920000	65.154000	
4.000000	0.099935	2.538000	48.819000	65.482000	1.922000	64.040000	73.947000	
5.000000	0.099906	2.482000	53.733000	68.831000	2.016000	59.378000	69.854000	
6.000000	0.099872	2.438000	57.640000	71.906000	1.843000	67.575000	76.094000	
7.000000	0.099833	2.391000	61.241000	74.349000	1.726000	72.391000	81.686000	
8.000000	0.099789	2.352000	64.526000	76.863000	1.718000	74.126000	81.726000	
9.000000	0.099740	2.325000	65.584000	77.636000	1.737000	73.830000	81.564000	
10.000000	0.099685	2.310000	67.379000	78.614000	1.721000	72.931000	81.321000	
11.000000	0.099625	2.285000	69.806000	79.988000	1.704000	73.965000	82.739000	
12.000000	0.099561	2.271000	70.060000	80.466000	1.668000	77.583000	82.820000	
13.000000	0.099490	2.256000	72.013000	81.749000	1.632000	77.560000	85.251000	
14.000000	0.099415	2.247000	72.090000	81.769000	1.611000	78.169000	86.710000	
15.000000	0.099335	2.233000	72.930000	82.604000	1.676000	78.731000	83.874000	
16.000000	0.099249	2.230000	73.555000	82.655000	1.588000	81.227000	87.399000	
17.000000	0.099159	2.217000	74.630000	83.245000	1.614000	81.520000	86.629000	
18.000000	0.099063	2.212000	75.156000	83.856000	1.608000	79.535000	85.616000	
19.000000	0.098962	2.210000	75.129000	83.673000	1.591000	81.361000	87.237000	
20.000000	0.098856	2.195000	75.682000	84.019000	1.627000	81.347000	86.062000	
21.000000	0.098745	2.186000	76.736000	84.660000	1.596000	81.761000	87.358000	
22.000000	0.098629	2.185000	76.113000	84.660000	1.594000	80.120000	86.386000	
23.000000	0.098508	2.184000	77.176000	85.057000	1.593000	82.062000	87.439000	
24.000000	0.098381	2.190000	76.491000	84.609000	1.570000	80.218000	87.601000	
25.000000	0.098250	2.173000	77.353000	85.230000	1.543000	82.717000	89.303000	
26.000000	0.098114	2.175000	77.143000	85.220000	1.596000	79.599000	86.507000	
27.000000	0.097973	2.167000	78.663000	85.892000	1.594000	83.431000	87.439000	
28.000000	0.097826	2.167000	77.763000	85.291000	1.566000	82.535000	88.006000	
29.000000	0.097675	2.159000	77.923000	85.607000	1.557000	81.903000	87.885000	
30.000000	0.097519	2.154000	78.746000	85.922000	1.591000	80.820000	87.601000	
31.000000	0.097358	2.152000	79.266000	86.177000	1.560000	82.928000	87.601000	
32.000000	0.097192	2.157000	78.134000	85.525000	1.570000	83.473000	88.533000	
33.000000	0.097021	2.143000	79.410000	86.665000	1.606000	82.530000	86.467000	
34.000000	0.096845	2.150000	79.166000	86.187000	1.611000	79.745000	86.264000	
35.000000	0.096664	2.141000	80.815000	87.408000	1.562000	83.136000	88.088000	
36.000000	0.096479	2.137000	79.578000	86.726000	1.561000	83.002000	87.844000	
